Local Authority Code,Region or Country Name,Local Authority Name,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,
E06000001,North East,Hartlepool, 	230 , 	150 , 	190 , 	170 , 	170 , 	360 , 	350 , 	160 , 	230 , 	330 , 	170 , 	160 , 	340 , 	460 ,
E06000002,North East,Middlesbrough, 	320 ,.., 	330 , 	220 , 	210 , 	430 , 	510 , 	430 , 	420 , 	470 , 	510 , 	350 , 	490 , 	600 ,
E06000003,North East,Redcar and Cleveland, 	210 , 	250 , 	260 , 	230 , 	270 , 	460 , 	240 , 	480 , 	470 , 	420 , 	350 , 	350 , 	380 , 	390 ,
E06000004,North East,Stockton-on-Tees, 	630 , 	580 , 	500 , 	640 , 	520 , 	460 , 	450 , 	690 , 	980 , 	780 , 	990 , 	590 , 	580 , 	490 ,
E06000005,North East,Darlington, 	170 , 	120 , 	200 , 	120 , 	180 , 	330 , 	330 , 	190 , 	320 , 	600 , 	450 , 	490 , 	410 , 	460 ,
E06000047,North East,County Durham," 	1,120 "," 	1,110 "," 	1,290 ", 	950 , 	970 ," 	1,180 "," 	1,280 "," 	1,170 "," 	1,250 "," 	1,570 "," 	1,640 "," 	1,290 "," 	1,670 "," 	1,480 ",
E06000057,North East,Northumberland, 	450 ,-, 	590 , 	580 , 	530 ," 	1,190 ", 	920 ," 	1,080 "," 	1,620 "," 	1,720 "," 	1,690 "," 	1,350 "," 	1,500 "," 	1,550 ",
E08000021,North East,Newcastle upon Tyne, 	150 , 	250 , 	450 , 	410 , 	470 , 	610 , 	700 , 	840 , 	720 ," 	1,040 ", 	810 ," 	1,130 "," 	1,150 "," 	1,110 ",
E08000022,North East,North Tyneside, 	200 , 	240 , 	460 , 	270 , 	310 , 	340 , 	390 , 	460 , 	560 , 	760 , 	490 , 	370 , 	520 , 	640 ,
E08000023,North East,South Tyneside, 	380 , 	180 , 	330 , 	240 , 	250 , 	330 , 	440 , 	330 , 	450 , 	400 , 	190 , 	170 , 	190 , 	200 ,
E08000024,North East,Sunderland, 	380 , 	690 , 	430 , 	330 , 	510 , 	910 , 	700 , 	580 , 	690 , 	650 , 	570 , 	610 , 	730 , 	900 ,
E08000037,North East,Gateshead, 	330 ,-, 	210 , 	400 , 	430 , 	220 , 	300 , 	270 , 	350 , 	290 , 	300 , 	310 , 	380 , 	320 ,
E06000006,North West,Halton,..,.., 	310 , 	340 , 	350 , 	310 , 	380 , 	370 , 	390 , 	520 , 	640 , 	490 , 	190 , 	430 ,
E06000007,North West,Warrington, 	340 ,.., 	430 , 	640 , 	590 , 	580 , 	590 , 	430 , 	260 , 	360 , 	510 , 	520 , 	710 , 	710 ,
E06000008,North West,Blackburn with Darwen, 	310 , 	190 , 	70 , 	220 , 	240 , 	190 , 	80 , 	120 , 	250 , 	280 , 	250 , 	370 , 	400 , 	440 ,
E06000009,North West,Blackpool, 	40 , 	170 , 	40 , 	50 , 	10 , 	70 , 	170 , 	110 , 	80 , 	140 , 	200 , 	140 , 	140 , 	160 ,
E06000049,North West,Cheshire East, 	440 , 	350 , 	320 , 	600 , 	610 , 	890 ," 	1,090 "," 	1,350 "," 	1,430 "," 	1,890 "," 	1,690 "," 	1,460 "," 	1,540 "," 	1,610 ",
E06000050,North West,Cheshire West and Chester,..,.., 	480 , 	470 , 	620 , 	970 ," 	1,220 "," 	1,320 "," 	1,620 "," 	1,820 "," 	1,240 ", 	990 ," 	1,120 ", 	990 ,
E07000026,North West,Allerdale, 	170 , 	110 , 	220 , 	200 , 	260 , 	320 , 	260 , 	320 , 	230 , 	310 , 	340 , 	220 , 	240 , 	230 ,
E07000027,North West,Barrow-in-Furness, 	60 , 	90 , 	40 , 	40 , 	50 , 	60 , 	60 , 	60 , 	70 , 	90 , 	90 , 	50 , 	150 , 	80 ,
E07000028,North West,Carlisle, 	190 , 	180 , 	420 , 	180 , 	210 , 	380 , 	390 , 	330 , 	350 , 	440 , 	620 , 	500 , 	490 , 	370 ,
E07000029,North West,Copeland, 	120 , 	90 , 	140 , 	130 , 	110 , 	110 , 	90 , 	110 , 	100 , 	90 , 	110 , 	120 , 	110 , 	130 ,
E07000030,North West,Eden, 	50 , 	80 , 	70 , 	120 , 	140 , 	110 , 	170 , 	190 , 	150 , 	280 , 	330 , 	210 , 	220 , 	330 ,
E07000031,North West,South Lakeland, 	190 , 	100 , 	130 , 	170 , 	170 , 	270 , 	320 , 	170 , 	230 , 	210 , 	200 , 	180 , 	220 , 	330 ,
E07000117,North West,Burnley, 	110 , 	70 , 	40 , 	70 , 	140 , 	130 , 	80 , 	120 , 	140 , 	160 , 	100 , 	50 , 	170 , 	150 ,
E07000118,North West,Chorley, 	250 , 	490 , 	440 , 	530 , 	450 , 	630 , 	600 , 	410 , 	540 , 	390 , 	480 , 	320 , 	230 , 	370 ,
E07000119,North West,Fylde, 	150 , 	190 , 	130 , 	100 , 	200 , 	190 , 	330 , 	440 , 	350 , 	460 , 	580 , 	340 , 	440 , 	420 ,
E07000120,North West,Hyndburn, 	20 ,.., 	40 , 	20 , 	70 , 	40 , 	90 , 	70 , 	120 , 	90 , 	120 , 	70 , 	180 , 	240 ,
