Region/Country code,Region/Country name,Local authority code ,Local authority name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023,Year ending Jun 2023,Year ending Sep 2023
E12000001,North East,E06000001,Hartlepool," 	36,500 "," 	37,500 "," 	38,500 "," 	39,000 "," 	40,000 "," 	40,975 "," 	41,752 "," 	41,500 "," 	41,450 "," 	41,450 "," 	43,000 "," 	44,250 "," 	44,000 "," 	44,950 "," 	45,375 "," 	46,000 "," 	47,375 "," 	48,000 "," 	48,500 "," 	47,500 "," 	47,000 "," 	45,950 "," 	44,950 "," 	47,500 "," 	48,500 "," 	48,998 "," 	51,950 "," 	53,000 "," 	53,000 "," 	53,500 "," 	54,950 "," 	54,973 "," 	56,950 "," 	56,975 "," 	54,250 "," 	55,000 "," 	52,975 "," 	54,000 "," 	57,500 "," 	60,000 "," 	69,000 "," 	77,000 "," 	83,000 "," 	86,000 "," 	90,000 "," 	92,500 "," 	97,500 "," 	100,000 "," 	105,000 "," 	109,475 "," 	110,000 "," 	110,000 "," 	110,000 "," 	105,000 "," 	100,000 "," 	100,000 "," 	103,500 "," 	108,000 "," 	110,000 "," 	112,500 "," 	110,500 "," 	110,000 "," 	108,475 "," 	105,000 "," 	104,000 "," 	101,000 "," 	100,000 "," 	102,500 "," 	108,000 "," 	110,000 "," 	115,000 "," 	116,000 "," 	115,748 "," 	114,950 "," 	116,000 "," 	117,000 "," 	120,000 "," 	123,000 "," 	124,000 "," 	124,250 "," 	124,000 "," 	122,850 "," 	120,000 "," 	120,000 "," 	119,950 "," 	119,950 "," 	123,250 "," 	123,000 "," 	124,950 "," 	125,000 "," 	124,000 "," 	124,000 "," 	125,000 "," 	125,000 "," 	126,500 "," 	129,950 "," 	129,950 "," 	128,000 "," 	129,950 "," 	130,250 "," 	133,000 "," 	135,000 "," 	139,000 "," 	139,500 "," 	135,000 "," 	135,000 "," 	130,000 "," 	132,000 "," 	139,950 "," 	139,950 "," 	136,000 "," 	135,000 "
E12000001,North East,E06000002,Middlesbrough," 	40,000 "," 	41,500 "," 	42,000 "," 	43,000 "," 	43,000 "," 	43,500 "," 	44,000 "," 	45,000 "," 	45,000 "," 	45,000 "," 	43,000 "," 	42,000 "," 	42,513 "," 	43,000 "," 	44,850 "," 	46,500 "," 	46,000 "," 	45,500 "," 	45,000 "," 	45,000 "," 	45,000 "," 	44,500 "," 	44,000 "," 	44,500 "," 	45,000 "," 	46,000 "," 	48,000 "," 	47,583 "," 	47,000 "," 	45,000 "," 	43,000 "," 	46,000 "," 	49,000 "," 	50,500 "," 	60,000 "," 	64,950 "," 	65,000 "," 	69,000 "," 	71,500 "," 	78,000 "," 	85,000 "," 	90,177 "," 	96,000 "," 	99,000 "," 	101,000 "," 	103,000 "," 	105,000 "," 	108,000 "," 	106,000 "," 	105,000 "," 	105,000 "," 	100,000 "," 	99,999 "," 	100,000 "," 	105,000 "," 	110,000 "," 	111,000 "," 	110,000 "," 	108,000 "," 	108,500 "," 	105,000 "," 	105,000 "," 	105,000 "," 	102,500 "," 	102,000 "," 	102,000 "," 	102,553 "," 	105,000 "," 	107,000 "," 	105,000 "," 	105,000 "," 	108,000 "," 	110,000 "," 	115,000 "," 	118,000 "," 	120,000 "," 	120,000 "," 	123,950 "," 	124,250 "," 	124,000 "," 	129,500 "," 	128,000 "," 	130,000 "," 	131,000 "," 	130,000 "," 	132,000 "," 	129,000 "," 	125,000 "," 	125,750 "," 	126,000 "," 	130,000 "," 	133,000 "," 	133,500 "," 	133,500 "," 	133,000 "," 	134,995 "," 	135,998 "," 	137,500 "," 	135,000 "," 	135,000 "," 	133,995 "," 	136,000 "," 	137,500 "," 	140,000 "," 	140,000 "," 	140,000 "," 	145,000 "," 	146,000 "," 	146,995 "," 	145,000 "," 	140,000 "," 	135,000 "
E12000001,North East,E06000003,Redcar and Cleveland," 	43,000 "," 	42,500 "," 	43,563 "," 	44,000 "," 	43,500 "," 	44,000 "," 	44,000 "," 	44,995 "," 	45,000 "," 	45,000 "," 	46,000 "," 	45,950 "," 	46,000 "," 	45,775 "," 	45,000 "," 	45,000 "," 	46,000 "," 	47,000 "," 	48,000 "," 	49,000 "," 	50,000 "," 	50,075 "," 	51,000 "," 	51,998 "," 	52,500 "," 	53,000 "," 	55,000 "," 	56,000 "," 	59,250 "," 	59,950 "," 	65,000 "," 	69,950 "," 	73,000 "," 	76,000 "," 	81,500 "," 	87,000 "," 	90,000 "," 	95,000 "," 	97,500 "," 	100,000 "," 	105,000 "," 	105,000 "," 	110,000 "," 	115,000 "," 	119,500 "," 	120,000 "," 	122,000 "," 	123,000 "," 	123,500 "," 	123,000 "," 	122,500 "," 	120,000 "," 	115,000 "," 	115,000 "," 	115,000 "," 	115,000 "," 	119,950 "," 	120,000 "," 	120,000 "," 	119,973 "," 	117,250 "," 	116,000 "," 	112,000 "," 	112,000 "," 	110,000 "," 	111,017 "," 	115,000 "," 	115,000 "," 	115,000 "," 	115,000 "," 	115,000 "," 	116,750 "," 	120,000 "," 	120,000 "," 	120,450 "," 	122,500 "," 	123,000 "," 	124,995 "," 	125,000 "," 	125,000 "," 	127,500 "," 	127,000 "," 	129,995 "," 	130,000 "," 	130,000 "," 	130,000 "," 	130,000 "," 	130,000 "," 	130,000 "," 	130,000 "," 	131,000 "," 	134,000 "," 	132,000 "," 	131,995 "," 	130,000 "," 	130,000 "," 	131,000 "," 	132,995 "," 	133,000 "," 	134,995 "," 	136,000 "," 	140,000 "," 	145,000 "," 	145,000 "," 	145,000 "," 	145,000 "," 	145,000 "," 	148,000 "," 	153,000 "," 	155,000 "," 	155,000 "," 	152,000 "
E12000001,North East,E06000004,Stockton-on-Tees," 	45,250 "," 	46,000 "," 	46,950 "," 	47,000 "," 	48,000 "," 	48,500 "," 	49,500 "," 	49,950 "," 	49,500 "," 	49,000 "," 	49,950 "," 	49,995 "," 	50,000 "," 	51,000 "," 	51,500 "," 	52,500 "," 	53,375 "," 	54,000 "," 	54,250 "," 	55,500 "," 	55,500 "," 	55,000 "," 	57,500 "," 	58,995 "," 	59,950 "," 	60,000 "," 	63,000 "," 	65,000 "," 	68,000 "," 	70,000 "," 	75,500 "," 	80,000 "," 	85,000 "," 	88,500 "," 	95,000 "," 	100,000 "," 	106,000 "," 	110,000 "," 	113,000 "," 	115,000 "," 	118,000 "," 	119,785 "," 	120,000 "," 	124,000 "," 	125,000 "," 	127,973 "," 	130,995 "," 	132,995 "," 	134,000 "," 	134,000 "," 	132,000 "," 	132,351 "," 	129,950 "," 	130,000 "," 	127,500 "," 	125,250 "," 	130,000 "," 	130,000 "," 	130,500 "," 	130,250 "," 	128,000 "," 	127,998 "," 	125,000 "," 	125,000 "," 	124,000 "," 	124,950 "," 	125,000 "," 	125,000 "," 	125,000 "," 	125,000 "," 	128,245 "," 	127,500 "," 	129,995 "," 	130,000 "," 	130,000 "," 	133,000 "," 	134,950 "," 	134,500 "," 	134,000 "," 	135,000 "," 	135,000 "," 	135,000 "," 	135,000 "," 	135,000 "," 	137,500 "," 	139,950 "," 	142,000 "," 	142,500 "," 	144,000 "," 	145,000 "," 	144,000 "," 	146,000 "," 	145,000 "," 	146,748 "," 	147,995 "," 	147,000 "," 	149,995 "," 	150,000 "," 	150,000 "," 	152,950 "," 	155,000 "," 	158,500 "," 	160,000 "," 	160,000 "," 	158,000 "," 	157,000 "," 	157,000 "," 	158,000 "," 	163,000 "," 	165,000 "," 	163,000 "," 	165,000 "
E12000001,North East,E06000005,Darlington," 	44,000 "," 	43,000 "," 	44,000 "," 	43,950 "," 	43,500 "," 	44,700 "," 	45,500 "," 	46,950 "," 	49,000 "," 	49,500 "," 	49,950 "," 	50,000 "," 	49,995 "," 	49,950 "," 	50,000 "," 	50,000 "," 	50,675 "," 	50,850 "," 	51,350 "," 	52,000 "," 	52,632 "," 	53,995 "," 	54,000 "," 	55,000 "," 	56,000 "," 	56,500 "," 	57,950 "," 	59,000 "," 	59,500 "," 	59,995 "," 	65,000 "," 	71,000 "," 	79,000 "," 	84,000 "," 	90,000 "," 	95,000 "," 	101,000 "," 	107,500 "," 	111,000 "," 	111,500 "," 	110,950 "," 	111,995 "," 	112,500 "," 	113,995 "," 	115,000 "," 	117,000 "," 	118,000 "," 	120,995 "," 	121,500 "," 	123,000 "," 	123,998 "," 	123,000 "," 	124,950 "," 	122,998 "," 	118,750 "," 	120,000 "," 	123,000 "," 	125,000 "," 	125,000 "," 	125,000 "," 	125,000 "," 	125,000 "," 	124,950 "," 	120,000 "," 	120,000 "," 	120,000 "," 	120,000 "," 	122,000 "," 	119,000 "," 	118,000 "," 	119,950 "," 	119,973 "," 	120,000 "," 	121,000 "," 	123,000 "," 	124,950 "," 	125,000 "," 	130,000 "," 	130,000 "," 	131,000 "," 	131,000 "," 	132,000 "," 	135,000 "," 	133,000 "," 	132,500 "," 	132,670 "," 	134,000 "," 	137,975 "," 	138,000 "," 	138,000 "," 	139,995 "," 	139,000 "," 	141,000 "," 	142,998 "," 	141,000 "," 	140,250 "," 	143,000 "," 	144,950 "," 	145,000 "," 	150,000 "," 	153,000 "," 	156,000 "," 	160,000 "," 	160,000 "," 	158,000 "," 	155,000 "," 	152,000 "," 	155,000 "," 	160,000 "," 	160,000 "," 	159,000 "," 	153,500 "
E12000001,North East,E06000047,County Durham," 	39,000 "," 	39,500 "," 	39,950 "," 	40,000 "," 	40,000 "," 	40,000 "," 	41,500 "," 	42,000 "," 	43,000 "," 	43,000 "," 	43,000 "," 	43,000 "," 	43,000 "," 	44,000 "," 	44,500 "," 	45,500 "," 	47,000 "," 	47,000 "," 	48,000 "," 	48,000 "," 	48,000 "," 	47,000 "," 	47,000 "," 	47,500 "," 	48,000 "," 	48,500 "," 	49,950 "," 	50,000 "," 	52,000 "," 	54,000 "," 	55,950 "," 	59,950 "," 	64,750 "," 	68,000 "," 	74,950 "," 	80,000 "," 	85,000 "," 	89,950 "," 	91,000 "," 	94,050 "," 	96,995 "," 	99,000 "," 	103,000 "," 	105,000 "," 	106,995 "," 	107,000 "," 	107,000 "," 	107,500 "," 	109,000 "," 	109,000 "," 	109,950 "," 	110,000 "," 	105,000 "," 	105,000 "," 	105,000 "," 	102,000 "," 	105,000 "," 	107,995 "," 	110,000 "," 	110,000 "," 	107,995 "," 	105,445 "," 	103,000 "," 	100,000 "," 	100,000 "," 	100,000 "," 	100,000 "," 	100,000 "," 	100,000 "," 	103,000 "," 	104,950 "," 	105,000 "," 	105,000 "," 	105,000 "," 	109,000 "," 	110,000 "," 	110,000 "," 	110,000 "," 	110,000 "," 	110,000 "," 	110,000 "," 	110,000 "," 	110,000 "," 	111,000 "," 	112,000 "," 	113,000 "," 	114,000 "," 	114,000 "," 	114,950 "," 	115,000 "," 	115,025 "," 	116,995 "," 	118,000 "," 	119,000 "," 	120,000 "," 	120,995 "," 	120,000 "," 	122,000 "," 	120,000 "," 	120,000 "," 	125,000 "," 	127,500 "," 	133,975 "," 	134,950 "," 	130,000 "," 	129,973 "," 	127,000 "," 	127,500 "," 	130,000 "," 	130,000 "," 	126,000 "," 	124,998 "
E12000001,North East,E06000057,Northumberland," 	47,500 "," 	47,000 "," 	47,499 "," 	48,500 "," 	50,000 "," 	50,625 "," 	51,950 "," 	52,000 "," 	53,000 "," 	53,000 "," 	53,000 "," 	54,000 "," 	54,500 "," 	54,950 "," 	56,000 "," 	58,000 "," 	58,500 "," 	59,000 "," 	59,800 "," 	59,950 "," 	59,950 "," 	59,950 "," 	60,000 "," 	62,000 "," 	64,000 "," 	65,000 "," 	66,950 "," 	69,000 "," 	72,500 "," 	75,000 "," 	79,950 "," 	84,950 "," 	88,950 "," 	92,000 "," 	98,000 "," 	108,000 "," 	115,748 "," 	120,000 "," 	120,000 "," 	120,000 "," 	120,000 "," 	122,500 "," 	127,500 "," 	133,000 "," 	135,000 "," 	137,000 "," 	138,000 "," 	137,000 "," 	139,950 "," 	140,000 "," 	142,000 "," 	144,000 "," 	142,000 "," 	141,500 "," 	136,000 "," 	134,000 "," 	137,000 "," 	140,000 "," 	143,000 "," 	145,000 "," 	145,000 "," 	142,000 "," 	142,476 "," 	137,525 "," 	135,000 "," 	135,000 "," 	135,000 "," 	137,000 "," 	137,000 "," 	137,500 "," 	137,000 "," 	137,000 "," 	140,000 "," 	140,000 "," 	143,250 "," 	145,825 "," 	149,000 "," 	150,000 "," 	152,000 "," 	155,000 "," 	155,000 "," 	155,000 "," 	155,000 "," 	157,500 "," 	158,000 "," 	160,000 "," 	160,000 "," 	159,950 "," 	160,000 "," 	159,950 "," 	160,000 "," 	165,000 "," 	167,250 "," 	169,000 "," 	168,000 "," 	169,000 "," 	167,443 "," 	167,960 "," 	169,950 "," 	169,950 "," 	182,500 "," 	190,000 "," 	195,000 "," 	194,950 "," 	185,995 "," 	184,475 "," 	178,000 "," 	180,000 "," 	190,000 "," 	190,000 "," 	192,995 "," 	190,000 "
E12000001,North East,E08000021,Newcastle upon Tyne," 	45,500 "," 	46,000 "," 	46,000 "," 	46,500 "," 	47,500 "," 	47,500 "," 	48,500 "," 	49,000 "," 	49,000 "," 	50,000 "," 	51,000 "," 	52,000 "," 	53,125 "," 	53,500 "," 	54,000 "," 	56,300 "," 	57,000 "," 	58,000 "," 	58,950 "," 	58,675 "," 	59,000 "," 	59,500 "," 	60,000 "," 	63,000 "," 	65,500 "," 	68,000 "," 	70,500 "," 	75,000 "," 	80,000 "," 	84,000 "," 	88,000 "," 	95,000 "," 	105,000 "," 	113,250 "," 	120,000 "," 	125,000 "," 	129,000 "," 	128,000 "," 	128,500 "," 	125,000 "," 	128,000 "," 	131,000 "," 	135,000 "," 	140,000 "," 	142,000 "," 	143,000 "," 	144,250 "," 	144,000 "," 	143,950 "," 	144,496 "," 	142,995 "," 	145,000 "," 	142,500 "," 	140,000 "," 	139,000 "," 	135,000 "," 	137,500 "," 	137,500 "," 	139,000 "," 	140,000 "," 	140,000 "," 	140,000 "," 	139,950 "," 	135,000 "," 	130,000 "," 	130,000 "," 	130,000 "," 	131,250 "," 	136,000 "," 	135,000 "," 	136,000 "," 	137,500 "," 	136,000 "," 	139,000 "," 	140,000 "," 	141,000 "," 	143,000 "," 	143,600 "," 	145,000 "," 	150,000 "," 	151,510 "," 	152,500 "," 	155,000 "," 	155,000 "," 	157,000 "," 	158,500 "," 	157,500 "," 	156,000 "," 	155,000 "," 	156,000 "," 	158,500 "," 	160,000 "," 	161,995 "," 	161,450 "," 	160,475 "," 	164,973 "," 	164,995 "," 	162,500 "," 	164,625 "," 	165,000 "," 	175,000 "," 	186,000 "," 	190,000 "," 	186,000 "," 	185,000 "," 	183,000 "," 	184,275 "," 	187,000 "," 	190,000 "," 	190,000 "," 	187,500 "," 	185,000 "
E12000001,North East,E08000022,North Tyneside," 	45,859 "," 	45,450 "," 	45,500 "," 	46,000 "," 	47,000 "," 	48,000 "," 	49,000 "," 	50,600 "," 	50,500 "," 	50,995 "," 	52,500 "," 	52,500 "," 	54,000 "," 	54,000 "," 	54,000 "," 	55,000 "," 	55,950 "," 	56,000 "," 	56,000 "," 	55,950 "," 	56,000 "," 	56,995 "," 	57,000 "," 	57,000 "," 	56,995 "," 	57,000 "," 	59,000 "," 	60,000 "," 	68,000 "," 	70,000 "," 	75,500 "," 	82,500 "," 	88,000 "," 	92,950 "," 	100,998 "," 	110,000 "," 	117,000 "," 	120,000 "," 	122,125 "," 	120,000 "," 	120,000 "," 	120,000 "," 	125,000 "," 	128,000 "," 	129,000 "," 	129,950 "," 	130,500 "," 	132,000 "," 	133,000 "," 	133,000 "," 	132,000 "," 	130,250 "," 	128,500 "," 	130,000 "," 	129,000 "," 	128,000 "," 	133,000 "," 	135,000 "," 	138,950 "," 	142,000 "," 	140,000 "," 	139,950 "," 	136,950 "," 	132,667 "," 	130,000 "," 	131,000 "," 	132,000 "," 	133,000 "," 	135,000 "," 	136,000 "," 	137,000 "," 	137,093 "," 	137,000 "," 	139,000 "," 	141,000 "," 	143,500 "," 	146,000 "," 	150,000 "," 	150,500 "," 	155,000 "," 	155,000 "," 	152,500 "," 	153,000 "," 	155,000 "," 	157,000 "," 	160,000 "," 	163,000 "," 	165,000 "," 	168,000 "," 	168,000 "," 	168,000 "," 	169,475 "," 	169,950 "," 	170,000 "," 	170,000 "," 	174,000 "," 	173,000 "," 	174,000 "," 	173,000 "," 	172,000 "," 	178,000 "," 	185,000 "," 	187,000 "," 	185,000 "," 	180,525 "," 	179,000 "," 	178,250 "," 	180,000 "," 	185,000 "," 	185,000 "," 	185,000 "," 	185,000 "
E12000001,North East,E08000023,South Tyneside," 	40,000 "," 	41,000 "," 	41,500 "," 	42,000 "," 	42,000 "," 	43,225 "," 	44,000 "," 	45,000 "," 	45,000 "," 	45,000 "," 	45,000 "," 	44,650 "," 	45,000 "," 	45,950 "," 	46,000 "," 	46,950 "," 	47,000 "," 	47,000 "," 	47,050 "," 	48,000 "," 	48,500 "," 	48,500 "," 	48,000 "," 	48,950 "," 	49,000 "," 	49,000 "," 	50,000 "," 	50,975 "," 	52,500 "," 	55,000 "," 	58,975 "," 	63,125 "," 	70,000 "," 	75,000 "," 	82,000 "," 	85,000 "," 	89,950 "," 	92,000 "," 	94,000 "," 	97,000 "," 	100,050 "," 	102,500 "," 	103,000 "," 	106,000 "," 	108,500 "," 	113,000 "," 	115,250 "," 	115,000 "," 	116,850 "," 	115,000 "," 	115,000 "," 	115,000 "," 	113,500 "," 	112,950 "," 	110,000 "," 	112,000 "," 	114,950 "," 	117,000 "," 	116,000 "," 	117,500 "," 	115,000 "," 	116,000 "," 	118,000 "," 	107,000 "," 	104,723 "," 	103,000 "," 	100,000 "," 	106,000 "," 	110,000 "," 	110,000 "," 	113,270 "," 	113,446 "," 	115,000 "," 	115,000 "," 	118,995 "," 	119,995 "," 	124,973 "," 	126,782 "," 	130,000 "," 	130,000 "," 	129,950 "," 	129,950 "," 	129,950 "," 	131,950 "," 	132,000 "," 	132,500 "," 	133,000 "," 	133,000 "," 	134,000 "," 	134,998 "," 	135,000 "," 	137,000 "," 	138,000 "," 	137,000 "," 	137,000 "," 	136,000 "," 	135,200 "," 	136,500 "," 	135,000 "," 	135,000 "," 	140,000 "," 	147,000 "," 	150,000 "," 	150,000 "," 	146,000 "," 	145,000 "," 	145,000 "," 	145,350 "," 	150,000 "," 	149,000 "," 	147,000 "," 	146,000 "
E12000001,North East,E08000024,Sunderland," 	38,500 "," 	38,500 "," 	39,000 "," 	39,950 "," 	41,000 "," 	42,000 "," 	42,950 "," 	44,000 "," 	44,000 "," 	44,500 "," 	45,000 "," 	44,950 "," 	45,000 "," 	45,000 "," 	45,000 "," 	46,000 "," 	47,500 "," 	47,950 "," 	48,000 "," 	47,500 "," 	45,950 "," 	45,000 "," 	45,000 "," 	47,000 "," 	49,000 "," 	51,950 "," 	53,000 "," 	55,625 "," 	58,950 "," 	59,950 "," 	63,500 "," 	67,500 "," 	72,000 "," 	77,000 "," 	82,000 "," 	87,600 "," 	91,000 "," 	95,000 "," 	95,000 "," 	98,500 "," 	99,995 "," 	100,750 "," 	105,000 "," 	105,125 "," 	108,000 "," 	110,000 "," 	111,000 "," 	112,000 "," 	112,000 "," 	113,000 "," 	113,411 "," 	112,000 "," 	110,000 "," 	108,000 "," 	105,000 "," 	105,000 "," 	109,000 "," 	106,250 "," 	107,000 "," 	110,000 "," 	109,725 "," 	110,000 "," 	110,000 "," 	106,000 "," 	105,000 "," 	105,000 "," 	105,000 "," 	107,902 "," 	110,000 "," 	111,000 "," 	112,000 "," 	110,000 "," 	110,000 "," 	112,000 "," 	115,000 "," 	115,000 "," 	116,500 "," 	117,000 "," 	118,000 "," 	120,000 "," 	120,000 "," 	120,000 "," 	120,000 "," 	120,000 "," 	120,000 "," 	122,500 "," 	122,500 "," 	125,000 "," 	124,995 "," 	125,000 "," 	127,500 "," 	127,000 "," 	128,000 "," 	129,950 "," 	129,950 "," 	130,000 "," 	130,000 "," 	129,000 "," 	127,000 "," 	128,950 "," 	130,000 "," 	138,500 "," 	144,000 "," 	145,000 "," 	144,975 "," 	142,500 "," 	140,998 "," 	141,000 "," 	142,000 "," 	140,000 "," 	135,000 "," 	133,000 "
