AREACD,AREANM,House,Bungalow,Flat,Maisonette,Other,All
E06000001,Hartlepool,97,70,43,79,53,92
E06000002,Middlesbrough,97,73,42,64.5,48.5,91
E06000003,Redcar and Cleveland,98,73,43,64,35,93
E06000004,Stockton-on-Tees,100,74,43,60,46,96
E06000005,Darlington,99,78,45,90,40,94
E06000006,Halton,95,82,46,91,39,91
E06000007,Warrington,98,77,46,77,25,93
E06000008,Blackburn with Darwen,97,77,49,86,40,94
E06000009,Blackpool,98,78,37,61,50,90
E06000010,"Kingston upon Hull, City of",93,60,42,59,65,87
E06000011,East Riding of Yorkshire,106,84,46,70,40,98
E06000012,North East Lincolnshire,100,84,42,60,55,97
E06000013,North Lincolnshire,102,87,46,66,40,99
E06000014,York,97,74,41,55,58,89
E06000015,Derby,97,72,37,49,45,91
E06000016,Leicester,95,55,41,56,52,90
E09000014,Haringey,112,54,41,55,21,68
E06000017,Rutland,110,94,50,68,82,104
E06000018,Nottingham,93,67,42,59,45,85
E06000019,"Herefordshire, County of",105,90,48,75,40,99
E06000020,Telford and Wrekin,99,69,49,62,40,94
E06000021,Stoke-on-Trent,90,65,43,60,30,86
E06000022,Bath and North East Somerset,103,88,44,62,52,96
E06000023,"Bristol, City of",100,76,42,55,49,92
E06000024,North Somerset,108,88,44,54,48,97
E06000025,South Gloucestershire,99,85,42,55,40,95
E06000026,Plymouth,98,82,43,61,41,90
E06000027,Torbay,102,87,42,57,35,91
E06000028,Bournemouth,114,86,44,64,56,83
E06000029,Poole,107,87,46,58,45,92
E06000030,Swindon,95,75,40,55,39,90
E08000009,Trafford,105,77,44,66,36,99
E06000031,Peterborough,100,80,41,61,43,96
E06000032,Luton,94,78,36,52,27,89
E06000033,Southend-on-Sea,110,82,41,58,40,94
E06000034,Thurrock,96,79,40,58,40,87
E06000035,Medway,93,77,41,61.5,41,89
E06000036,Bracknell Forest,100,77,40,54,46,93
E06000037,West Berkshire,104,90,42,56,43,97
E06000038,Reading,96,82,41,53,46,88
E06000039,Slough,93,66,39,52,40,81
E06000040,Windsor and Maidenhead,108,92,46,53,46,98
E06000041,Wokingham,109,89,44,52,46,102
E06000042,Milton Keynes,99,70,43,58,57,91
E06000043,Brighton and Hove,105,85,41,57,36,78
E06000044,Portsmouth,102,81,42,59,35,91
E06000045,Southampton,99,76,37,50,39,84
E06000046,Isle of Wight,104,85,41,67,50.5,93
E07000010,Fenland,101,79,41,58,45,94
E09000015,Harrow,103,84,45,62,29.5,92
E06000047,County Durham,98,69,48,66,30,94
E06000049,Cheshire East,103,83,41,72,61,98
E06000050,Cheshire West and Chester,100,88,43,61,45,96
E06000051,Shropshire,102,80,47,75,40,96
E06000052,Cornwall,104,90,45,62,40,95
E06000053,Isles of Scilly,115,84,46,72.5,,96
E07000034,Chesterfield,95,73,53,75,34,91
E06000054,Wiltshire,101,85,42,56,51,96
E06000055,Bedford,100,80,38,53,49,94
E06000056,Central Bedfordshire,99,80,40,50,43,94
E06000057,Northumberland,101,84,47,81,74,96
E07000004,Aylesbury Vale,98,80,43,56,32,94
E07000005,Chiltern,120,94,45,58,51,106
E07000006,South Bucks,122,92,49,60,50,104
E07000007,Wycombe,103,87,45,55,46,97
E07000008,Cambridge,97,73,40,51,43,88
E07000009,East Cambridgeshire,104,82,40,51,58,96
E07000092,Rushmoor,98,80,40,50,40,92
E07000011,Huntingdonshire,103,84,42,52,43,99
E07000012,South Cambridgeshire,108,82,42,58,43,101
E07000026,Allerdale,103,91,46,70,67,100
E07000027,Barrow-in-Furness,94,85,49,83,40,90
E07000028,Carlisle,99,89,48,62,40,95
